step,track,model,dataset,Accuracy,F1,Memory in Mb,Time in s
106,Binary classification,Logistic regression,Bananas,0.49056603773584906,0.3414634146341463,0.004187583923339844,0.014223
212,Binary classification,Logistic regression,Bananas,0.5141509433962265,0.3832335329341317,0.004187583923339844,0.037646
318,Binary classification,Logistic regression,Bananas,0.5220125786163522,0.42424242424242425,0.004240989685058594,0.068813
424,Binary classification,Logistic regression,Bananas,0.5165094339622641,0.40233236151603496,0.004240989685058594,0.10764399999999999
530,Binary classification,Logistic regression,Bananas,0.5320754716981132,0.36410256410256414,0.004240989685058594,0.15412199999999998
636,Binary classification,Logistic regression,Bananas,0.5377358490566038,0.32876712328767127,0.004240989685058594,0.20840899999999998
742,Binary classification,Logistic regression,Bananas,0.5525606469002695,0.3054393305439331,0.004240989685058594,0.27061599999999997
848,Binary classification,Logistic regression,Bananas,0.5530660377358491,0.28083491461100574,0.004240989685058594,0.340655
954,Binary classification,Logistic regression,Bananas,0.5555555555555556,0.25874125874125875,0.004240989685058594,0.418672
1060,Binary classification,Logistic regression,Bananas,0.5622641509433962,0.2418300653594771,0.004240989685058594,0.504375
1166,Binary classification,Logistic regression,Bananas,0.5608919382504288,0.22424242424242424,0.004240989685058594,0.5975860000000001
1272,Binary classification,Logistic regression,Bananas,0.5613207547169812,0.2206703910614525,0.004240989685058594,0.698327
1378,Binary classification,Logistic regression,Bananas,0.5645863570391872,0.20844327176781002,0.004240989685058594,0.829832
1484,Binary classification,Logistic regression,Bananas,0.5646900269541779,0.19651741293532338,0.004240989685058594,0.989237
1590,Binary classification,Logistic regression,Bananas,0.5647798742138365,0.18588235294117644,0.004240989685058594,1.173746
1696,Binary classification,Logistic regression,Bananas,0.5660377358490566,0.17857142857142858,0.004240989685058594,1.3827159999999998
1802,Binary classification,Logistic regression,Bananas,0.562708102108768,0.17052631578947366,0.004240989685058594,1.6288179999999999
1908,Binary classification,Logistic regression,Bananas,0.5587002096436059,0.16798418972332016,0.004240989685058594,1.89827
2014,Binary classification,Logistic regression,Bananas,0.5516385302879842,0.16620498614958448,0.004240989685058594,2.1860779999999997
2120,Binary classification,Logistic regression,Bananas,0.5495283018867925,0.1688424717145344,0.004240989685058594,2.506655
2226,Binary classification,Logistic regression,Bananas,0.5485175202156334,0.18092909535452323,0.004240989685058594,2.863635
2332,Binary classification,Logistic regression,Bananas,0.5484562607204116,0.19679633867276888,0.004240989685058594,3.255758
2438,Binary classification,Logistic regression,Bananas,0.5471698113207547,0.19999999999999998,0.004240989685058594,3.6853420000000003
2544,Binary classification,Logistic regression,Bananas,0.5479559748427673,0.21662125340599456,0.004240989685058594,4.144647
2650,Binary classification,Logistic regression,Bananas,0.5452830188679245,0.2260757867694284,0.004240989685058594,4.656212
2756,Binary classification,Logistic regression,Bananas,0.5395500725689405,0.22857142857142854,0.004240989685058594,5.2140889999999995
2862,Binary classification,Logistic regression,Bananas,0.5391334730957372,0.230005837711617,0.004240989685058594,5.826531999999999
2968,Binary classification,Logistic regression,Bananas,0.5411051212938005,0.22613636363636364,0.004240989685058594,6.483434999999999
3074,Binary classification,Logistic regression,Bananas,0.5403383214053351,0.22148760330578512,0.004240989685058594,7.184213999999999
